Rank,Pair,Symbol_Y,Symbol_X,Score,Score_rt_frequency,Score_beta_smoothness,Score_window_reversion,Score_regime_stability,Score_adf,Score_kurtosis_penalty,RT_Total,RT_Signals,RT_Completion,RT_Annual_Freq,Best_Ref_Lookback,Lookback_Scan,Delta_Beta_Std,Delta_Beta_Rel,Beta_Mean,Beta_CV,WRS_Pct_Fast,WRS_Median_HL,WRS_N_Windows,Regime_Quality,Regime_Total,Regime_Consistency,Regime_Detail,ADF_Pvalue,Spread_Kurtosis,Overlap_Days
1,FILUSDT-SNXUSDT,FILUSDT,SNXUSDT,86.28,10.0,3.0,8.92,14.37,50.0,-0.0,41,54,0.7593,11.176,100,"[{""lookback"": 100, ""n_rt"": 41, ""n_sig"": 54, ""rt_comp"": 0.7592592592592593, ""rt_annual"": 11.175559701492537, ""rt_per_bar"": 0.029285714285714286, ""lb_stability_bonus"": 1.0, ""combined"": 0.019374966772944594}, {""lookback"": 130, ""n_rt"": 39, ""n_sig"": 60, ""rt_comp"": 0.65, ""rt_annual"": 10.87385496183206, ""rt_per_bar"": 0.02846715328467153, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.015528405961358769}, {""lookback"": 155, ""n_rt"": 32, ""n_sig"": 55, ""rt_comp"": 0.5818181818181818, ""rt_annual"": 9.095719844357976, ""rt_per_bar"": 0.02379182156133829, ""lb_stability_bonus"": 1.075, ""combined"": 0.011350554844112718}, {""lookback"": 180, ""n_rt"": 36, ""n_sig"": 56, ""rt_comp"": 0.6428571428571429, ""rt_annual"": 10.435714285714285, ""rt_per_bar"": 0.02727272727272727, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.01559076500931864}, {""lookback"": 210, ""n_rt"": 32, ""n_sig"": 53, ""rt_comp"": 0.6037735849056604, ""rt_annual"": 9.502439024390243, ""rt_per_bar"": 0.024806201550387597, ""lb_stability_bonus"": 1.15, ""combined"": 0.013383486693133412}]",0.015821,0.021161,0.747657,0.4882,0.5789,9.37,19,4,4,0.8944,"[{""regime"": 1, ""n_rt"": 7, ""n_sig"": 12, ""completion"": 0.5833333333333334, ""annual_freq"": 7.654940119760479}, {""regime"": 2, ""n_rt"": 10, ""n_sig"": 14, ""completion"": 0.7142857142857143, ""annual_freq"": 10.93562874251497}, {""regime"": 3, ""n_rt"": 11, ""n_sig"": 13, ""completion"": 0.8461538461538461, ""annual_freq"": 12.029191616766466}, {""regime"": 4, ""n_rt"": 13, ""n_sig"": 16, ""completion"": 0.8125, ""annual_freq"": 14.173880597014925}]",2.5e-05,2.6206,1499
2,AVAXUSDT-FILUSDT,AVAXUSDT,FILUSDT,84.74,10.0,3.0,7.99,13.76,50.0,-0.01,49,64,0.7656,13.356,100,"[{""lookback"": 100, ""n_rt"": 49, ""n_sig"": 64, ""rt_comp"": 0.765625, ""rt_annual"": 13.35615671641791, ""rt_per_bar"": 0.035, ""lb_stability_bonus"": 1.0, ""combined"": 0.023447265625}, {""lookback"": 130, ""n_rt"": 41, ""n_sig"": 61, ""rt_comp"": 0.6721311475409836, ""rt_annual"": 11.43148854961832, ""rt_per_bar"": 0.029927007299270073, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.017165526303326545}, {""lookback"": 155, ""n_rt"": 46, ""n_sig"": 66, ""rt_comp"": 0.696969696969697, ""rt_annual"": 13.075097276264591, ""rt_per_bar"": 0.03420074349442379, ""lb_stability_bonus"": 1.075, ""combined"": 0.02139266329810816}, {""lookback"": 180, ""n_rt"": 39, ""n_sig"": 62, ""rt_comp"": 0.6290322580645161, ""rt_annual"": 11.305357142857142, ""rt_per_bar"": 0.029545454545454545, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.016348096688848228}, {""lookback"": 210, ""n_rt"": 39, ""n_sig"": 62, ""rt_comp"": 0.6290322580645161, ""rt_annual"": 11.581097560975609, ""rt_per_bar"": 0.030232558139534883, ""lb_stability_bonus"": 1.15, ""combined"": 0.017345311889082962}]",0.020731,0.022058,0.939834,0.4566,0.5263,9.18,19,4,4,0.7938,"[{""regime"": 1, ""n_rt"": 9, ""n_sig"": 12, ""completion"": 0.75, ""annual_freq"": 9.842065868263473}, {""regime"": 2, ""n_rt"": 12, ""n_sig"": 13, ""completion"": 0.9230769230769231, ""annual_freq"": 13.122754491017963}, {""regime"": 3, ""n_rt"": 20, ""n_sig"": 23, ""completion"": 0.8695652173913043, ""annual_freq"": 21.87125748502994}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 16, ""completion"": 0.4375, ""annual_freq"": 7.6320895522388055}]",0.0,3.0074,1499
3,NEARUSDT-POLUSDT,NEARUSDT,POLUSDT,83.33,9.54,3.0,6.54,14.26,50.0,-0.0,14,22,0.6364,12.089,100,"[{""lookback"": 100, ""n_rt"": 14, ""n_sig"": 22, ""rt_comp"": 0.6363636363636364, ""rt_annual"": 12.088652482269502, ""rt_per_bar"": 0.028985507246376812, ""lb_stability_bonus"": 1.0, ""combined"": 0.01471427732943942}, {""lookback"": 130, ""n_rt"": 10, ""n_sig"": 17, ""rt_comp"": 0.5882352941176471, ""rt_annual"": 9.293893129770993, ""rt_per_bar"": 0.02207505518763797, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.01036671639138057}, {""lookback"": 155, ""n_rt"": 11, ""n_sig"": 17, ""rt_comp"": 0.6470588235294118, ""rt_annual"": 10.917798913043478, ""rt_per_bar"": 0.02570093457943925, ""lb_stability_bonus"": 1.075, ""combined"": 0.014380468200270778}, {""lookback"": 180, ""n_rt"": 8, ""n_sig"": 15, ""rt_comp"": 0.5333333333333333, ""rt_annual"": 8.518950437317784, ""rt_per_bar"": 0.019851116625310174, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.00857531689901564}, {""lookback"": 210, ""n_rt"": 7, ""n_sig"": 15, ""rt_comp"": 0.4666666666666667, ""rt_annual"": 8.1685303514377, ""rt_per_bar"": 0.01876675603217158, ""lb_stability_bonus"": 1.15, ""combined"": 0.006880139120188541}]",0.012359,0.015549,0.794877,0.2655,0.5,9.97,4,4,4,0.8763,"[{""regime"": 1, ""n_rt"": 3, ""n_sig"": 7, ""completion"": 0.42857142857142855, ""annual_freq"": 10.435714285714287}, {""regime"": 2, ""n_rt"": 3, ""n_sig"": 6, ""completion"": 0.5, ""annual_freq"": 10.435714285714287}, {""regime"": 3, ""n_rt"": 3, ""n_sig"": 3, ""completion"": 1.0, ""annual_freq"": 10.435714285714287}, {""regime"": 4, ""n_rt"": 5, ""n_sig"": 7, ""completion"": 0.7142857142857143, ""annual_freq"": 17.392857142857142}]",0.002844,0.0596,582
4,LTCUSDT-APTUSDT,LTCUSDT,APTUSDT,82.36,10.0,2.85,5.78,13.73,50.0,-0.0,42,56,0.75,13.721,100,"[{""lookback"": 100, ""n_rt"": 42, ""n_sig"": 56, ""rt_comp"": 0.75, ""rt_annual"": 13.721377459749553, ""rt_per_bar"": 0.035653650254668934, ""lb_stability_bonus"": 1.0, ""combined"": 0.023157725143641613}, {""lookback"": 130, ""n_rt"": 34, ""n_sig"": 54, ""rt_comp"": 0.6296296296296297, ""rt_annual"": 11.4140625, ""rt_per_bar"": 0.029616724738675958, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.015402015862242064}, {""lookback"": 155, ""n_rt"": 31, ""n_sig"": 51, ""rt_comp"": 0.6078431372549019, ""rt_annual"": 10.651693320790216, ""rt_per_bar"": 0.027604630454140695, ""lb_stability_bonus"": 1.075, ""combined"": 0.014062990339588405}, {""lookback"": 180, ""n_rt"": 25, ""n_sig"": 48, ""rt_comp"": 0.5208333333333334, ""rt_annual"": 8.796965317919076, ""rt_per_bar"": 0.022768670309653915, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.009491895997567239}, {""lookback"": 210, ""n_rt"": 24, ""n_sig"": 46, ""rt_comp"": 0.5217391304347826, ""rt_annual"": 8.696428571428571, ""rt_per_bar"": 0.02247191011235955, ""lb_stability_bonus"": 1.15, ""combined"": 0.00973908024963526}]",0.016551,0.038708,0.427576,0.7759,0.4667,15.8,15,4,4,0.7891,"[{""regime"": 1, ""n_rt"": 6, ""n_sig"": 7, ""completion"": 0.8571428571428571, ""annual_freq"": 7.883093525179856}, {""regime"": 2, ""n_rt"": 17, ""n_sig"": 21, ""completion"": 0.8095238095238095, ""annual_freq"": 22.33543165467626}, {""regime"": 3, ""n_rt"": 11, ""n_sig"": 16, ""completion"": 0.6875, ""annual_freq"": 14.452338129496402}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 12, ""completion"": 0.5833333333333334, ""annual_freq"": 9.098754448398576}]",7e-06,0.9089,1277
5,LTCUSDT-ARBUSDT,LTCUSDT,ARBUSDT,82.29,10.0,2.97,5.67,13.66,50.0,-0.0,30,40,0.75,11.379,100,"[{""lookback"": 100, ""n_rt"": 30, ""n_sig"": 40, ""rt_comp"": 0.75, ""rt_annual"": 11.378504672897195, ""rt_per_bar"": 0.02932551319648094, ""lb_stability_bonus"": 1.0, ""combined"": 0.01904747955537622}, {""lookback"": 130, ""n_rt"": 29, ""n_sig"": 43, ""rt_comp"": 0.6744186046511628, ""rt_annual"": 11.352893890675242, ""rt_per_bar"": 0.02920443101711984, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.0168366569982613}, {""lookback"": 155, ""n_rt"": 29, ""n_sig"": 49, ""rt_comp"": 0.5918367346938775, ""rt_annual"": 11.66547356828194, ""rt_per_bar"": 0.029958677685950414, ""lb_stability_bonus"": 1.075, ""combined"": 0.014663376361377873}, {""lookback"": 180, ""n_rt"": 25, ""n_sig"": 44, ""rt_comp"": 0.5681818181818182, ""rt_annual"": 10.341166477916195, ""rt_per_bar"": 0.026511134676564158, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.012592920444715782}, {""lookback"": 210, ""n_rt"": 21, ""n_sig"": 41, ""rt_comp"": 0.5121951219512195, ""rt_annual"": 8.99208675263775, ""rt_per_bar"": 0.023001095290251915, ""lb_stability_bonus"": 1.15, ""combined"": 0.009696154222772162}]",0.014749,0.031826,0.46343,0.7163,0.4615,10.13,13,4,4,0.7764,"[{""regime"": 1, ""n_rt"": 7, ""n_sig"": 9, ""completion"": 0.7777777777777778, ""annual_freq"": 10.653125000000001}, {""regime"": 2, ""n_rt"": 13, ""n_sig"": 13, ""completion"": 1.0, ""annual_freq"": 19.784375}, {""regime"": 3, ""n_rt"": 4, ""n_sig"": 9, ""completion"": 0.4444444444444444, ""annual_freq"": 6.0875}, {""regime"": 4, ""n_rt"": 6, ""n_sig"": 9, ""completion"": 0.6666666666666666, ""annual_freq"": 9.13125}]",2e-06,1.6853,1122
6,OPUSDT-SEIUSDT,OPUSDT,SEIUSDT,81.61,10.0,3.0,5.52,13.1,50.0,-0.0,25,35,0.7143,11.163,100,"[{""lookback"": 100, ""n_rt"": 25, ""n_sig"": 35, ""rt_comp"": 0.7142857142857143, ""rt_annual"": 11.162897310513447, ""rt_per_bar"": 0.02847380410022779, ""lb_stability_bonus"": 1.0, ""combined"": 0.017189111916866995}, {""lookback"": 130, ""n_rt"": 25, ""n_sig"": 39, ""rt_comp"": 0.6410256410256411, ""rt_annual"": 11.587880710659899, ""rt_per_bar"": 0.0294811320754717, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.01574961929712109}, {""lookback"": 155, ""n_rt"": 24, ""n_sig"": 37, ""rt_comp"": 0.6486486486486487, ""rt_annual"": 11.488859764089122, ""rt_per_bar"": 0.02916160388821385, ""lb_stability_bonus"": 1.075, ""combined"": 0.016376992389945444}, {""lookback"": 180, ""n_rt"": 18, ""n_sig"": 35, ""rt_comp"": 0.5142857142857142, ""rt_annual"": 8.908536585365853, ""rt_per_bar"": 0.022556390977443608, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.009226637334199766}, {""lookback"": 210, ""n_rt"": 24, ""n_sig"": 43, ""rt_comp"": 0.5581395348837209, ""rt_annual"": 12.38135593220339, ""rt_per_bar"": 0.03125, ""lb_stability_bonus"": 1.15, ""combined"": 0.014985182664824521}]",0.013962,0.018732,0.745367,0.4299,0.4545,11.88,11,4,4,0.6831,"[{""regime"": 1, ""n_rt"": 4, ""n_sig"": 6, ""completion"": 0.6666666666666666, ""annual_freq"": 7.197044334975369}, {""regime"": 2, ""n_rt"": 13, ""n_sig"": 15, ""completion"": 0.8666666666666667, ""annual_freq"": 23.39039408866995}, {""regime"": 3, ""n_rt"": 5, ""n_sig"": 7, ""completion"": 0.7142857142857143, ""annual_freq"": 8.996305418719212}, {""regime"": 4, ""n_rt"": 3, ""n_sig"": 7, ""completion"": 0.42857142857142855, ""annual_freq"": 5.319174757281553}]",1e-06,0.8135,977
7,FILUSDT-APTUSDT,FILUSDT,APTUSDT,81.52,10.0,3.0,6.55,14.09,50.0,-2.11,42,55,0.7636,14.779,180,"[{""lookback"": 100, ""n_rt"": 35, ""n_sig"": 49, ""rt_comp"": 0.7142857142857143, ""rt_annual"": 11.43448121645796, ""rt_per_bar"": 0.029711375212224108, ""lb_stability_bonus"": 1.0, ""combined"": 0.01793621083889042}, {""lookback"": 130, ""n_rt"": 37, ""n_sig"": 51, ""rt_comp"": 0.7254901960784313, ""rt_annual"": 12.421185661764707, ""rt_per_bar"": 0.032229965156794424, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.020730986053796627}, {""lookback"": 155, ""n_rt"": 39, ""n_sig"": 54, ""rt_comp"": 0.7222222222222222, ""rt_annual"": 13.400517403574788, ""rt_per_bar"": 0.034728406055209264, ""lb_stability_bonus"": 1.075, ""combined"": 0.022913930200157542}, {""lookback"": 180, ""n_rt"": 42, ""n_sig"": 55, ""rt_comp"": 0.7636363636363637, ""rt_annual"": 14.778901734104046, ""rt_per_bar"": 0.03825136612021858, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.02831026907620486}, {""lookback"": 210, ""n_rt"": 31, ""n_sig"": 46, ""rt_comp"": 0.6739130434782609, ""rt_annual"": 11.232886904761905, ""rt_per_bar"": 0.02902621722846442, ""lb_stability_bonus"": 1.15, ""combined"": 0.018466903285853015}]",0.007714,0.009788,0.788109,0.2969,0.5,9.96,14,4,4,0.8482,"[{""regime"": 1, ""n_rt"": 15, ""n_sig"": 18, ""completion"": 0.8333333333333334, ""annual_freq"": 21.23546511627907}, {""regime"": 2, ""n_rt"": 8, ""n_sig"": 12, ""completion"": 0.6666666666666666, ""annual_freq"": 11.325581395348836}, {""regime"": 3, ""n_rt"": 11, ""n_sig"": 15, ""completion"": 0.7333333333333333, ""annual_freq"": 15.57267441860465}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 10, ""completion"": 0.7, ""annual_freq"": 9.795977011494251}]",2.7e-05,4.2675,1277
8,ADAUSDT-FILUSDT,ADAUSDT,FILUSDT,81.43,8.46,3.0,5.93,14.04,50.0,-0.0,28,53,0.5283,7.632,100,"[{""lookback"": 100, ""n_rt"": 28, ""n_sig"": 53, ""rt_comp"": 0.5283018867924528, ""rt_annual"": 7.6320895522388055, ""rt_per_bar"": 0.02, ""lb_stability_bonus"": 1.0, ""combined"": 0.007679858853104026}, {""lookback"": 130, ""n_rt"": 27, ""n_sig"": 52, ""rt_comp"": 0.5192307692307693, ""rt_annual"": 7.528053435114503, ""rt_per_bar"": 0.01970802919708029, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.007675322441407263}, {""lookback"": 155, ""n_rt"": 26, ""n_sig"": 56, ""rt_comp"": 0.4642857142857143, ""rt_annual"": 7.3902723735408555, ""rt_per_bar"": 0.019330855018587362, ""lb_stability_bonus"": 1.075, ""combined"": 0.006574118216274319}, {""lookback"": 180, ""n_rt"": 23, ""n_sig"": 54, ""rt_comp"": 0.42592592592592593, ""rt_annual"": 6.667261904761904, ""rt_per_bar"": 0.017424242424242425, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.005371828816738457}, {""lookback"": 210, ""n_rt"": 26, ""n_sig"": 58, ""rt_comp"": 0.4482758620689655, ""rt_annual"": 7.720731707317073, ""rt_per_bar"": 0.020155038759689922, ""lb_stability_bonus"": 1.15, ""combined"": 0.00695663968051962}]",0.020751,0.026171,0.792889,0.5095,0.4737,10.12,19,4,4,0.8403,"[{""regime"": 1, ""n_rt"": 6, ""n_sig"": 11, ""completion"": 0.5454545454545454, ""annual_freq"": 6.561377245508981}, {""regime"": 2, ""n_rt"": 8, ""n_sig"": 11, ""completion"": 0.7272727272727273, ""annual_freq"": 8.748502994011975}, {""regime"": 3, ""n_rt"": 10, ""n_sig"": 15, ""completion"": 0.6666666666666666, ""annual_freq"": 10.93562874251497}, {""regime"": 4, ""n_rt"": 4, ""n_sig"": 16, ""completion"": 0.25, ""annual_freq"": 4.361194029850746}]",0.0,2.5136,1499
9,ATOMUSDT-ARBUSDT,ATOMUSDT,ARBUSDT,81.35,10.0,3.0,4.0,14.35,50.0,-0.0,34,47,0.7234,12.896,100,"[{""lookback"": 100, ""n_rt"": 34, ""n_sig"": 47, ""rt_comp"": 0.723404255319149, ""rt_annual"": 12.895638629283487, ""rt_per_bar"": 0.033235581622678395, ""lb_stability_bonus"": 1.0, ""combined"": 0.02044913170155728}, {""lookback"": 130, ""n_rt"": 31, ""n_sig"": 47, ""rt_comp"": 0.6595744680851063, ""rt_annual"": 12.135852090032154, ""rt_per_bar"": 0.03121852970795569, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.017406882618311324}, {""lookback"": 155, ""n_rt"": 29, ""n_sig"": 46, ""rt_comp"": 0.6304347826086957, ""rt_annual"": 11.66547356828194, ""rt_per_bar"": 0.029958677685950414, ""lb_stability_bonus"": 1.075, ""combined"": 0.016120976844196996}, {""lookback"": 180, ""n_rt"": 31, ""n_sig"": 48, ""rt_comp"": 0.6458333333333334, ""rt_annual"": 12.823046432616083, ""rt_per_bar"": 0.032873806998939555, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.018923341690371638}, {""lookback"": 210, ""n_rt"": 23, ""n_sig"": 39, ""rt_comp"": 0.5897435897435898, ""rt_annual"": 9.848475967174679, ""rt_per_bar"": 0.025191675794085433, ""lb_stability_bonus"": 1.15, ""combined"": 0.01312048056651824}]",0.012198,0.019114,0.638164,0.4744,0.3846,11.21,13,4,4,0.8918,"[{""regime"": 1, ""n_rt"": 7, ""n_sig"": 13, ""completion"": 0.5384615384615384, ""annual_freq"": 10.653125000000001}, {""regime"": 2, ""n_rt"": 10, ""n_sig"": 11, ""completion"": 0.9090909090909091, ""annual_freq"": 15.21875}, {""regime"": 3, ""n_rt"": 10, ""n_sig"": 13, ""completion"": 0.7692307692307693, ""annual_freq"": 15.21875}, {""regime"": 4, ""n_rt"": 6, ""n_sig"": 10, ""completion"": 0.6, ""annual_freq"": 9.13125}]",4.4e-05,1.3131,1122
10,APTUSDT-SEIUSDT,APTUSDT,SEIUSDT,80.44,10.0,3.0,3.55,13.89,50.0,-0.0,29,39,0.7436,12.949,100,"[{""lookback"": 100, ""n_rt"": 29, ""n_sig"": 39, ""rt_comp"": 0.7435897435897436, ""rt_annual"": 12.948960880195598, ""rt_per_bar"": 0.03302961275626424, ""lb_stability_bonus"": 1.0, ""combined"": 0.021178908219165547}, {""lookback"": 130, ""n_rt"": 28, ""n_sig"": 40, ""rt_comp"": 0.7, ""rt_annual"": 12.978426395939087, ""rt_per_bar"": 0.0330188679245283, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.020128992619508707}, {""lookback"": 155, ""n_rt"": 23, ""n_sig"": 34, ""rt_comp"": 0.6764705882352942, ""rt_annual"": 11.010157273918743, ""rt_per_bar"": 0.027946537059538274, ""lb_stability_bonus"": 1.075, ""combined"": 0.016715133267743036}, {""lookback"": 180, ""n_rt"": 23, ""n_sig"": 37, ""rt_comp"": 0.6216216216216216, ""rt_annual"": 11.383130081300813, ""rt_per_bar"": 0.02882205513784461, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.015666834587408106}, {""lookback"": 210, ""n_rt"": 24, ""n_sig"": 40, ""rt_comp"": 0.6, ""rt_annual"": 12.38135593220339, ""rt_per_bar"": 0.03125, ""lb_stability_bonus"": 1.15, ""combined"": 0.016702240680519485}]",0.011248,0.017045,0.659907,0.5065,0.3636,11.07,11,4,4,0.8151,"[{""regime"": 1, ""n_rt"": 3, ""n_sig"": 9, ""completion"": 0.3333333333333333, ""annual_freq"": 5.397783251231528}, {""regime"": 2, ""n_rt"": 10, ""n_sig"": 11, ""completion"": 0.9090909090909091, ""annual_freq"": 17.992610837438423}, {""regime"": 3, ""n_rt"": 9, ""n_sig"": 10, ""completion"": 0.9, ""annual_freq"": 16.19334975369458}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 9, ""completion"": 0.7777777777777778, ""annual_freq"": 12.411407766990292}]",4e-05,2.1151,977
