t,p,strike
2026-05-12 12:10:05+00:00,0.002,<$20B
2026-05-12 12:20:08+00:00,0.002,<$20B
2026-05-12 12:30:08+00:00,0.002,<$20B
2026-05-12 12:40:07+00:00,0.002,<$20B
2026-05-12 12:50:18+00:00,0.002,<$20B
2026-05-12 13:00:06+00:00,0.002,<$20B
2026-05-12 13:10:08+00:00,0.002,<$20B
2026-05-12 13:30:08+00:00,0.002,<$20B
2026-05-12 13:40:06+00:00,0.002,<$20B
2026-05-12 13:50:04+00:00,0.002,<$20B
2026-05-12 14:00:07+00:00,0.002,<$20B
2026-05-12 14:10:06+00:00,0.002,<$20B
2026-05-12 14:20:06+00:00,0.002,<$20B
2026-05-12 14:30:09+00:00,0.002,<$20B
2026-05-12 14:40:07+00:00,0.002,<$20B
2026-05-12 14:50:06+00:00,0.002,<$20B
2026-05-12 15:00:09+00:00,0.002,<$20B
2026-05-12 15:10:04+00:00,0.002,<$20B
2026-05-12 15:20:06+00:00,0.002,<$20B
2026-05-12 15:30:13+00:00,0.002,<$20B
2026-05-12 15:40:06+00:00,0.002,<$20B
2026-05-12 15:50:08+00:00,0.002,<$20B
2026-05-12 16:00:06+00:00,0.002,<$20B
2026-05-12 16:10:06+00:00,0.002,<$20B
2026-05-12 16:20:06+00:00,0.002,<$20B
2026-05-12 16:30:08+00:00,0.002,<$20B
2026-05-12 16:40:08+00:00,0.002,<$20B
2026-05-12 16:50:06+00:00,0.002,<$20B
2026-05-12 17:00:28+00:00,0.002,<$20B
2026-05-12 17:10:07+00:00,0.002,<$20B
2026-05-12 17:20:08+00:00,0.002,<$20B
2026-05-12 17:30:08+00:00,0.002,<$20B
2026-05-12 17:40:07+00:00,0.002,<$20B
2026-05-12 17:50:05+00:00,0.0125,<$20B
2026-05-12 18:00:08+00:00,0.012,<$20B
2026-05-12 18:10:08+00:00,0.0125,<$20B
2026-05-12 18:20:08+00:00,0.012,<$20B
2026-05-12 18:30:06+00:00,0.0095,<$20B
2026-05-12 18:40:04+00:00,0.0095,<$20B
2026-05-12 18:50:05+00:00,0.0095,<$20B
2026-05-12 19:00:09+00:00,0.0105,<$20B
2026-05-12 19:10:08+00:00,0.008,<$20B
2026-05-12 19:20:05+00:00,0.006,<$20B
2026-05-12 19:30:06+00:00,0.006,<$20B
