variant,asset,real_max,null_q95,null_median,percentile,passes
primary_block10,ADA,1.737,1.616,0.963,0.99,True
primary_block10,AVAX,1.643,1.62,0.871,0.955,True
primary_block10,BTC,1.903,1.667,1.124,0.98,True
primary_block10,ETH,1.63,1.516,0.933,0.97,True
primary_block10,SOL,2.051,1.729,0.994,1.0,True
primary_block10,XRP,1.772,1.642,1.021,0.975,True
primary_block10,PORTFOLIO,2.832,2.255,1.591,1.0,True
demeaned_block10,ADA,1.737,1.466,0.878,0.99,True
demeaned_block10,AVAX,1.643,1.569,0.791,0.96,True
demeaned_block10,BTC,1.903,1.27,0.667,1.0,True
demeaned_block10,ETH,1.63,1.241,0.569,0.98,True
demeaned_block10,SOL,2.051,1.439,0.769,1.0,True
demeaned_block10,XRP,1.772,1.473,0.917,0.99,True
demeaned_block10,PORTFOLIO,2.832,2.142,1.302,1.0,True
block5,ADA,1.737,1.316,0.724,1.0,True
block5,AVAX,1.643,1.186,0.7,1.0,True
block5,BTC,1.903,1.407,0.851,1.0,True
block5,ETH,1.63,1.291,0.693,0.99,True
block5,SOL,2.051,1.6,0.901,1.0,True
block5,XRP,1.772,1.407,0.783,1.0,True
block5,PORTFOLIO,2.832,1.855,1.259,1.0,True
block20,ADA,1.737,1.694,1.082,0.96,True
block20,AVAX,1.643,1.756,1.105,0.93,False
block20,BTC,1.903,2.06,1.352,0.91,False
block20,ETH,1.63,1.674,1.037,0.93,False
block20,SOL,2.051,1.846,1.353,0.97,True
block20,XRP,1.772,1.793,1.179,0.94,False
block20,PORTFOLIO,2.832,2.702,1.883,0.97,True
